image_id,n_diffs,mean_area,inv_mean,n_norm,inv_mean_norm,difficulty_score,difficulty_level
1,7,0,0,0.7,0.12,0.248,DỄ
4,5,0,0,0.5,0.446,0.33,TRUNG BÌNH
2,10,0,0,1.0,0.892,0.672,KHÓ
5,9,0,0,0.9,0.357,0.521,TRUNG BÌNH
6,9,0,0,0.9,0.446,0.587,KHÓ
7,10,0,0,1.0,0.714,0.786,RẤT KHÓ
3,3,0,0,0.3,0.223,0.224,DỄ
8,2,0,0,0.2,0.714,0.357,TRUNG BÌNH
9,2,0,0,0.2,0.714,0.357,TRUNG BÌNH1,7,0,0,0.7,0.12,0.248,DỄ
1,7,0,0,0.7,0.12,0.248,DỄ
1,7,0,0,0.7,0.12,0.248,DỄ
1,7,0,0,0.7,0.12,0.248,DỄ
4,5,0,0,0.5,0.446,0.33,TRUNG BÌNH
4,5,0,0,0.5,0.446,0.33,TRUNG BÌNH
1,7,0,0,0.7,0.12,0.248,DỄ
1,7,0,0,0.7,0.12,0.248,DỄ
6,9,0,0,0.9,0.756,0.495,TRUNG BÌNH
6,9,0,0,0.9,0.756,0.495,TRUNG BÌNH
1,7,0,0,0.7,0.12,0.248,DỄ
6,9,0,0,0.9,0.756,0.495,TRUNG BÌNH
6,9,0,0,0.9,0.756,0.495,TRUNG BÌNH
